Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
1702,230,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1705,220,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1707,300,20,40,1,10,26.6,44,840,0.5,7.358,100,2700,7200
1735,210,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1746,300,20,40,1,10,26.6,44,780,0.5,7.358,100,2700,7200
1767,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
1776,200,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1786,190,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1803,300,20,40,1,10,26.6,44,600,0.5,7.358,100,2700,7200
1806,180,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1808,300,20,40,1,10,26.6,44,540,0.5,7.358,100,2700,7200
1811,300,20,40,1,10,26.6,44,480,0.5,7.358,100,2700,7200
1814,300,20,40,1,10,26.6,44,420,0.5,7.358,100,2700,7200
1835,170,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1849,160,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1850,300,20,100,1,10,21.1,20,1800,0.75,8.535,100,2400,7200
1855,300,20,100,1,10,21.1,20,1800,0.75,8.535,100,2700,7200
1875,300,20,100,1,10,21.1,20,1800,0.75,8.535,100,2100,7200
1879,300,20,100,1,10,21.1,20,1800,0.75,8.535,100,1800,7200
1882,300,20,100,1,10,21.1,20,1800,0.75,8.535,100,1500,7200
1891,300,20,100,1,10,21.1,20,1800,0.75,8.535,100,1200,7200
1899,150,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1903,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
1910,140,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1932,130,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1986,110,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1994,120,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1999,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,5400
2007,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,4800
2026,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,4200
2028,100,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
2029,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,3600
2033,90,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
2033,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
2047,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,3000
2053,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,2400
2062,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,1800
2063,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,1200
2070,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2070,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,600
2075,300,20,100,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2096,70,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
2101,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
2160,300,20,60,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2182,300,20,100,1,6,23.1,50,1800,0.75,8.535,100,2700,7200
2195,300,20,50,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2207,300,20,100,1,5,23.1,50,1800,0.75,8.535,100,2700,7200
2215,300,20,40,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2249,300,20,30,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2250,300,20,100,1,3,23.1,50,1800,0.75,8.535,100,2700,7200
2255,20,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
2264,300,20,100,1,2,23.1,50,1800,0.75,8.535,100,2700,7200
2270,300,20,20,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2277,300,20,10,1,10,23.1,50,1800,0.75,8.535,100,2700,7200
2296,10,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
2296,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
2384,280,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2401,300,20,100,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2402,300,20,60,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2404,260,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2404,270,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2418,300,20,80,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2506,300,20,40,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2550,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
